CREATE DATE,Defect Category,Defect ref,symptom category,symptom details,Serial Number,Part Number
12/31/2020,facilities issue,temperature,,room too cold,4890,555-321
1/1/2021,delamination,CARC coating,,,89912,999-001
1/2/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
1/3/2021,component failure,actuator,calibration,erratic motion,4190,555-321
1/4/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
1/5/2021,damage,optic scratch,,,4570,555-321
1/6/2021,documentation,no buyoff,,,4675,555-321
1/7/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
1/8/2021,test software,preset limits,limit breach,angular limit,4451,444-221
1/9/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
1/10/2021,delamination,CARC coating,,,799,221-324
1/11/2021,fit failure,shaft,fail to rotate,,4012,555-321
1/12/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
1/13/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
1/14/2021,damage,mirror,,,789,221-324
1/15/2021,documentation,SN Swap,,,780,221-324
1/16/2021,test station,power supply,,,89231,999-001
1/17/2021,test software,wrong rev,,,89264,999-001
1/18/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
1/19/2021,delamination,UID lablel,,,89976,999-001
1/20/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
1/21/2021,component failure,rotor,,,4467,444-221
1/22/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
1/23/2021,damage,baffle fins,,,89765,999-001
1/24/2021,documentation,SN Missing,,,782,221-324
1/25/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
1/26/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
1/27/2021,facilities issue,temperature,,room too cold,4890,555-321
1/28/2021,delamination,CARC coating,,,89912,999-001
1/29/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
1/30/2021,component failure,actuator,calibration,erratic motion,4190,555-321
1/31/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
2/1/2021,damage,optic scratch,,,4570,555-321
2/2/2021,documentation,no buyoff,,,4675,555-321
2/3/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
2/4/2021,test software,preset limits,limit breach,angular limit,4451,444-221
2/5/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
2/6/2021,delamination,CARC coating,,,799,221-324
2/7/2021,fit failure,shaft,fail to rotate,,4012,555-321
2/8/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
2/9/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
2/10/2021,damage,mirror,,,789,221-324
2/11/2021,documentation,SN Swap,,,780,221-324
2/12/2021,test station,power supply,,,89231,999-001
2/13/2021,test software,wrong rev,,,89264,999-001
2/14/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
2/15/2021,delamination,UID lablel,,,89976,999-001
2/16/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
2/17/2021,component failure,rotor,,,4467,444-221
2/18/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
2/19/2021,damage,baffle fins,,,89765,999-001
2/20/2021,documentation,SN Missing,,,782,221-324
2/21/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
2/22/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
2/23/2021,facilities issue,temperature,,room too cold,4890,555-321
2/24/2021,delamination,CARC coating,,,89912,999-001
2/25/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
2/26/2021,component failure,actuator,calibration,erratic motion,4190,555-321
2/27/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
2/28/2021,damage,optic scratch,,,4570,555-321
3/1/2021,documentation,no buyoff,,,4675,555-321
3/2/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
3/3/2021,test software,preset limits,limit breach,angular limit,4451,444-221
3/4/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
3/5/2021,delamination,CARC coating,,,799,221-324
3/6/2021,fit failure,shaft,fail to rotate,,4012,555-321
3/7/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
3/8/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
3/9/2021,damage,mirror,,,789,221-324
3/10/2021,documentation,SN Swap,,,780,221-324
3/11/2021,test station,power supply,,,89231,999-001
3/12/2021,test software,wrong rev,,,89264,999-001
3/13/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
3/14/2021,delamination,UID lablel,,,89976,999-001
3/15/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
3/16/2021,component failure,rotor,,,4467,444-221
3/17/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
3/18/2021,damage,baffle fins,,,89765,999-001
3/19/2021,documentation,SN Missing,,,782,221-324
3/20/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
3/21/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
3/22/2021,facilities issue,temperature,,room too cold,4890,555-321
3/23/2021,delamination,CARC coating,,,89912,999-001
3/24/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
3/25/2021,component failure,actuator,calibration,erratic motion,4190,555-321
3/26/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
3/27/2021,damage,optic scratch,,,4570,555-321
3/28/2021,documentation,no buyoff,,,4675,555-321
3/29/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
3/30/2021,test software,preset limits,limit breach,angular limit,4451,444-221
3/31/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
4/1/2021,delamination,CARC coating,,,799,221-324
4/2/2021,fit failure,shaft,fail to rotate,,4012,555-321
4/3/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
4/4/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
4/5/2021,damage,mirror,,,789,221-324
4/6/2021,documentation,SN Swap,,,780,221-324
4/7/2021,test station,power supply,,,89231,999-001
4/8/2021,test software,wrong rev,,,89264,999-001
4/9/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
4/10/2021,delamination,UID lablel,,,89976,999-001
4/11/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
4/12/2021,component failure,rotor,,,4467,444-221
4/13/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
4/14/2021,damage,baffle fins,,,89765,999-001
4/15/2021,documentation,SN Missing,,,782,221-324
4/16/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
4/17/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
4/18/2021,facilities issue,temperature,,room too cold,4890,555-321
4/19/2021,delamination,CARC coating,,,89912,999-001
4/20/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
4/21/2021,component failure,actuator,calibration,erratic motion,4190,555-321
4/22/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
4/23/2021,damage,optic scratch,,,4570,555-321
4/24/2021,documentation,no buyoff,,,4675,555-321
4/25/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
4/26/2021,test software,preset limits,limit breach,angular limit,4451,444-221
4/27/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
4/28/2021,delamination,CARC coating,,,799,221-324
4/29/2021,fit failure,shaft,fail to rotate,,4012,555-321
4/30/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
5/1/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
5/2/2021,damage,mirror,,,789,221-324
5/3/2021,documentation,SN Swap,,,780,221-324
5/4/2021,test station,power supply,,,89231,999-001
5/5/2021,test software,wrong rev,,,89264,999-001
5/6/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
5/7/2021,delamination,UID lablel,,,89976,999-001
5/8/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
5/9/2021,component failure,rotor,,,4467,444-221
5/10/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
5/11/2021,damage,baffle fins,,,89765,999-001
5/12/2021,documentation,SN Missing,,,782,221-324
5/13/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
5/14/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
5/15/2021,facilities issue,temperature,,room too cold,4890,555-321
5/16/2021,delamination,CARC coating,,,89912,999-001
5/17/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
5/18/2021,component failure,actuator,calibration,erratic motion,4190,555-321
5/19/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
5/20/2021,damage,optic scratch,,,4570,555-321
5/21/2021,documentation,no buyoff,,,4675,555-321
5/22/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
5/23/2021,test software,preset limits,limit breach,angular limit,4451,444-221
5/24/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
5/25/2021,delamination,CARC coating,,,799,221-324
5/26/2021,fit failure,shaft,fail to rotate,,4012,555-321
5/27/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
5/28/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
5/29/2021,damage,mirror,,,789,221-324
5/30/2021,documentation,SN Swap,,,780,221-324
5/31/2021,test station,power supply,,,89231,999-001
6/1/2021,test software,wrong rev,,,89264,999-001
6/2/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
6/3/2021,delamination,UID lablel,,,89976,999-001
6/4/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
6/5/2021,component failure,rotor,,,4467,444-221
6/6/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
6/7/2021,damage,baffle fins,,,89765,999-001
6/8/2021,documentation,SN Missing,,,782,221-324
6/9/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
6/10/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
6/11/2021,facilities issue,temperature,,room too cold,4890,555-321
6/12/2021,delamination,CARC coating,,,89912,999-001
6/13/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
6/14/2021,component failure,actuator,calibration,erratic motion,4190,555-321
6/15/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
6/16/2021,damage,optic scratch,,,4570,555-321
6/17/2021,documentation,no buyoff,,,4675,555-321
6/18/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
6/19/2021,test software,preset limits,limit breach,angular limit,4451,444-221
6/20/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
6/21/2021,delamination,CARC coating,,,799,221-324
6/22/2021,fit failure,shaft,fail to rotate,,4012,555-321
6/23/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
6/24/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
6/25/2021,damage,mirror,,,789,221-324
6/26/2021,documentation,SN Swap,,,780,221-324
6/27/2021,test station,power supply,,,89231,999-001
6/28/2021,test software,wrong rev,,,89264,999-001
6/29/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
6/30/2021,delamination,UID lablel,,,89976,999-001
7/1/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
7/2/2021,component failure,rotor,,,4467,444-221
7/3/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
7/4/2021,damage,baffle fins,,,89765,999-001
7/5/2021,documentation,SN Missing,,,782,221-324
7/6/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
7/7/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
7/8/2021,facilities issue,temperature,,room too cold,4890,555-321
7/9/2021,delamination,CARC coating,,,89912,999-001
7/10/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
7/11/2021,component failure,actuator,calibration,erratic motion,4190,555-321
7/12/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
7/13/2021,damage,optic scratch,,,4570,555-321
7/14/2021,documentation,no buyoff,,,4675,555-321
7/15/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
7/16/2021,test software,preset limits,limit breach,angular limit,4451,444-221
7/17/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
7/18/2021,delamination,CARC coating,,,799,221-324
7/19/2021,fit failure,shaft,fail to rotate,,4012,555-321
7/20/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
7/21/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
7/22/2021,damage,mirror,,,789,221-324
7/23/2021,documentation,SN Swap,,,780,221-324
7/24/2021,test station,power supply,,,89231,999-001
7/25/2021,test software,wrong rev,,,89264,999-001
7/26/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
7/27/2021,delamination,UID lablel,,,89976,999-001
7/28/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
7/29/2021,component failure,rotor,,,4467,444-221
7/30/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
7/31/2021,damage,baffle fins,,,89765,999-001
8/1/2021,documentation,SN Missing,,,782,221-324
8/2/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
8/3/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
8/4/2021,facilities issue,temperature,,room too cold,4890,555-321
8/5/2021,delamination,CARC coating,,,89912,999-001
8/6/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
8/7/2021,component failure,actuator,calibration,erratic motion,4190,555-321
8/8/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
8/9/2021,damage,optic scratch,,,4570,555-321
8/10/2021,documentation,no buyoff,,,4675,555-321
8/11/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
8/12/2021,test software,preset limits,limit breach,angular limit,4451,444-221
8/13/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
8/14/2021,delamination,CARC coating,,,799,221-324
8/15/2021,fit failure,shaft,fail to rotate,,4012,555-321
8/16/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
8/17/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
8/18/2021,damage,mirror,,,789,221-324
8/19/2021,documentation,SN Swap,,,780,221-324
8/20/2021,test station,power supply,,,89231,999-001
8/21/2021,test software,wrong rev,,,89264,999-001
8/22/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
8/23/2021,delamination,UID lablel,,,89976,999-001
8/24/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
8/25/2021,component failure,rotor,,,4467,444-221
8/26/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
8/27/2021,damage,baffle fins,,,89765,999-001
8/28/2021,documentation,SN Missing,,,782,221-324
8/29/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
8/30/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
8/31/2021,facilities issue,temperature,,room too cold,4890,555-321
9/1/2021,delamination,CARC coating,,,89912,999-001
9/2/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
9/3/2021,component failure,actuator,calibration,erratic motion,4190,555-321
9/4/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
9/5/2021,damage,optic scratch,,,4570,555-321
9/6/2021,documentation,no buyoff,,,4675,555-321
9/7/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
9/8/2021,test software,preset limits,limit breach,angular limit,4451,444-221
9/9/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
9/10/2021,delamination,CARC coating,,,799,221-324
9/11/2021,fit failure,shaft,fail to rotate,,4012,555-321
9/12/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
9/13/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
9/14/2021,damage,mirror,,,789,221-324
9/15/2021,documentation,SN Swap,,,780,221-324
9/16/2021,test station,power supply,,,89231,999-001
9/17/2021,test software,wrong rev,,,89264,999-001
9/18/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
9/19/2021,delamination,UID lablel,,,89976,999-001
9/20/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
9/21/2021,component failure,rotor,,,4467,444-221
9/22/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
9/23/2021,damage,baffle fins,,,89765,999-001
9/24/2021,documentation,SN Missing,,,782,221-324
9/25/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
9/26/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
9/27/2021,facilities issue,temperature,,room too cold,4890,555-321
9/28/2021,delamination,CARC coating,,,89912,999-001
9/29/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
9/30/2021,component failure,actuator,calibration,erratic motion,4190,555-321
10/1/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
10/2/2021,damage,optic scratch,,,4570,555-321
10/3/2021,documentation,no buyoff,,,4675,555-321
10/4/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
10/5/2021,test software,preset limits,limit breach,angular limit,4451,444-221
10/6/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
10/7/2021,delamination,CARC coating,,,799,221-324
10/8/2021,fit failure,shaft,fail to rotate,,4012,555-321
10/9/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
10/10/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
10/11/2021,damage,mirror,,,789,221-324
10/12/2021,documentation,SN Swap,,,780,221-324
10/13/2021,test station,power supply,,,89231,999-001
10/14/2021,test software,wrong rev,,,89264,999-001
10/15/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
10/16/2021,delamination,UID lablel,,,89976,999-001
10/17/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
10/18/2021,component failure,rotor,,,4467,444-221
10/19/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
10/20/2021,damage,baffle fins,,,89765,999-001
10/21/2021,documentation,SN Missing,,,782,221-324
10/22/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
10/23/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
10/24/2021,facilities issue,temperature,,room too cold,4890,555-321
10/25/2021,delamination,CARC coating,,,89912,999-001
10/26/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
10/27/2021,component failure,actuator,calibration,erratic motion,4190,555-321
10/28/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
10/29/2021,damage,optic scratch,,,4570,555-321
10/30/2021,documentation,no buyoff,,,4675,555-321
10/31/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
11/1/2021,test software,preset limits,limit breach,angular limit,4451,444-221
11/2/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
11/3/2021,delamination,CARC coating,,,799,221-324
11/4/2021,fit failure,shaft,fail to rotate,,4012,555-321
11/5/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
11/6/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
11/7/2021,damage,mirror,,,789,221-324
11/8/2021,documentation,SN Swap,,,780,221-324
11/9/2021,test station,power supply,,,89231,999-001
11/10/2021,test software,wrong rev,,,89264,999-001
11/11/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
11/12/2021,delamination,UID lablel,,,89976,999-001
11/13/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
11/14/2021,component failure,rotor,,,4467,444-221
11/15/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
11/16/2021,damage,baffle fins,,,89765,999-001
11/17/2021,documentation,SN Missing,,,782,221-324
11/18/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
11/19/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
11/20/2021,facilities issue,temperature,,room too cold,4890,555-321
11/21/2021,delamination,CARC coating,,,89912,999-001
11/22/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
11/23/2021,component failure,actuator,calibration,erratic motion,4190,555-321
11/24/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
11/25/2021,damage,optic scratch,,,4570,555-321
11/26/2021,documentation,no buyoff,,,4675,555-321
11/27/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
11/28/2021,test software,preset limits,limit breach,angular limit,4451,444-221
11/29/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
11/30/2021,delamination,CARC coating,,,799,221-324
12/1/2021,fit failure,shaft,fail to rotate,,4012,555-321
12/2/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
12/3/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
12/4/2021,damage,mirror,,,789,221-324
12/5/2021,documentation,SN Swap,,,780,221-324
12/6/2021,test station,power supply,,,89231,999-001
12/7/2021,test software,wrong rev,,,89264,999-001
12/8/2021,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
12/9/2021,delamination,UID lablel,,,89976,999-001
12/10/2021,fit failure,housing,range of motion,stuck in yaw,4455,444-221
12/11/2021,component failure,rotor,,,4467,444-221
12/12/2021,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
12/13/2021,damage,baffle fins,,,89765,999-001
12/14/2021,documentation,SN Missing,,,782,221-324
12/15/2021,test station,station coolant,failed to complete,station overheat,89675,999-001
12/16/2021,test software,timing issue,programming failure,failed to program cpu,89977,999-001
12/17/2021,facilities issue,temperature,,room too cold,4890,555-321
12/18/2021,delamination,CARC coating,,,89912,999-001
12/19/2021,fit failure,bearing,friction failure,rubs in pitch,769,221-324
12/20/2021,component failure,actuator,calibration,erratic motion,4190,555-321
12/21/2021,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
12/22/2021,damage,optic scratch,,,4570,555-321
12/23/2021,documentation,no buyoff,,,4675,555-321
12/24/2021,test station,anechoic chamber,failed to complete,air leak,89922,999-001
12/25/2021,test software,preset limits,limit breach,angular limit,4451,444-221
12/26/2021,facilities issue,temperature,failed to complete,room too cold,4897,555-321
12/27/2021,delamination,CARC coating,,,799,221-324
12/28/2021,fit failure,shaft,fail to rotate,,4012,555-321
12/29/2021,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
12/30/2021,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
12/31/2021,damage,mirror,,,789,221-324
